"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","Should return 404 for DELETE request to user list endpoint","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","46","Should partially update user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","190","Should fully update post with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","46","Should return a list of 10 users","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","57","Should delete post with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","53","Should partially update post with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","54","Should return 200 and empty list of posts for non-existing user with id 99","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","181","Should return a list of 100 posts","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","29","Should return 500 for a malformed JSON payload","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","108","Should return 404 for a non-existent user with id 99","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","219","Should create a new post with id 101","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","41","Should delete user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","210","Should get post with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","49","Should return 500 for a malformed JSON payload","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","67","Should return a list of posts for existing user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","62","Should return 404 for a non-existent post with id 9999","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","49","Should get user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","59","Should replace the nested address object when partially updating user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","50","Should create a user with id 11 with empty body","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Edge Cases","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","48","Should create a post with id 101 with empty body","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Posts API > Edge Cases","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","73","Should fully update user with id 1","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","64","Should create a user with id 11","jsonplaceholder-api","Thu Dec 25 01:49:50 UTC 2025","passed","Thu Dec 25 01:49:50 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
